run_label,timestamp,layer_idx,layer_name,time_s,batch_size,total_time_s,ips
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,16,Dense,0.0001501001,8,0.0515224934,155.2719885609
S5_+CONV_IM2COL_OPT,2026-03-31T19:09:12,17,Softmax,0.0003244001,8,0.0515224934,155.2719885609
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,0,Conv2D,0.0126059000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,1,BatchNorm2D,0.0030050000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,2,ReLU,0.0012742000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,3,MaxPool2D,0.0160458000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,4,Conv2D,0.0039911000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,5,BatchNorm2D,0.0004098000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,6,ReLU,0.0001880000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,7,MaxPool2D,0.0048687000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,8,Conv2D,0.0027371000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,9,BatchNorm2D,0.0002397000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,10,ReLU,0.0000787000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,11,MaxPool2D,0.0037255000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,12,Flatten,0.0000135000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,13,Dense,0.0008847000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,14,ReLU,0.0000398000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,15,Dropout,0.0000056000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,16,Dense,0.0001681000,8,0.0529949665,150.9577329188
S6_ALG2_CACHE_V1,2026-04-02T00:01:16,17,Softmax,0.0004100000,8,0.0529949665,150.9577329188
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,0,Conv2D,0.0105824000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,1,BatchNorm2D,0.0029324000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,2,ReLU,0.0012341000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,3,MaxPool2D,0.0130201000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,4,Conv2D,0.0033404000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,5,BatchNorm2D,0.0003284000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,6,ReLU,0.0001368000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,7,MaxPool2D,0.0051735000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,8,Conv2D,0.0033107000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,9,BatchNorm2D,0.0002364000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,10,ReLU,0.0001526000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,11,MaxPool2D,0.0036371000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,12,Flatten,0.0000118000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,13,Dense,0.0007027000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,14,ReLU,0.0000401000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,15,Dropout,0.0000050000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,16,Dense,0.0001320000,8,0.0470001698,170.2121511873
S7_CYTHON_MAXPOOL,2026-04-06T17:35:58,17,Softmax,0.0003601000,8,0.0470001698,170.2121511873
